Date,Family,Family ID,Tile Number,Recruit,Single/Clump,Survival,Survival2,LastSeenAlive,DeadorCensus,Status,Event
March,BKxBK,1,1,1.1.79,C,1,0,March,June,2,TRUE
March,BKxBK,1,1,1.1.89,S,1,0,March,June,2,TRUE
March,BKxBK,1,1,1.1.93,C,1,0,March,June,2,TRUE
March,BKxBK,1,1,1.1.99,S,1,0,March,June,2,TRUE
March,BKxBK,1,10,1.10.2,S,1,1,October,October,1,FALSE
March,BKxBK,1,100,1.100.10,C,1,0,March,June,2,TRUE
March,BKxBK,1,100,1.100.11,C,1,0,March,June,2,TRUE
March,BKxBK,1,100,1.100.12,C,1,0,March,June,2,TRUE
March,BKxBK,1,100,1.100.13,C,1,0,March,June,2,TRUE
March,BKxBK,1,100,1.100.14,C,1,0,March,June,2,TRUE
March,BKxBK,1,100,1.100.15,C,1,0,March,June,2,TRUE
March,BKxBK,1,100,1.100.2,C,1,0,March,June,2,TRUE
March,BKxBK,1,100,1.100.3,C,1,0,June,October,2,TRUE
March,BKxBK,1,100,1.100.4,C,1,0,June,October,2,TRUE
March,BKxBK,1,100,1.100.8,C,1,0,March,June,2,TRUE
March,BKxBK,1,100,1.100.9,C,1,0,March,June,2,TRUE
March,BKxBK,1,101,1.101.36,C,1,0,March,June,2,TRUE
March,BKxBK,1,101,1.101.38,C,1,0,March,June,2,TRUE
March,BKxBK,1,104,1.104.33,C,1,0,March,June,2,TRUE
March,BKxBK,1,104,1.104.34,C,1,0,March,June,2,TRUE
March,BKxBK,1,109,1.109.3,S,1,0,March,June,2,TRUE
March,BKxBK,1,110,1.110.2,S,1,0,June,October,2,TRUE
March,BKxBK,1,111,1.111.1,S,1,0,June,October,2,TRUE
March,BKxBK,1,114,1.114.52,S,1,0,June,October,2,TRUE
March,BKxBK,1,115,1.115.1,S,1,0,June,October,2,TRUE
March,BKxBK,1,115,1.115.2,S,1,0,June,October,2,TRUE
March,BKxBK,1,117,1.117.7,S,1,1,October,October,1,FALSE
March,BKxBK,1,118,1.118.105,C,1,0,March,June,2,TRUE
March,BKxBK,1,118,1.118.107,C,1,0,March,June,2,TRUE
March,BKxBK,1,118,1.118.11,C,1,0,March,June,2,TRUE
March,BKxBK,1,118,1.118.12,S,1,0,March,June,2,TRUE
March,BKxBK,1,118,1.118.12,S,1,0,March,June,2,TRUE
March,BKxBK,1,118,1.118.120,C,1,0,March,June,2,TRUE
March,BKxBK,1,118,1.118.139,C,1,0,March,June,2,TRUE
March,BKxBK,1,118,1.118.16,C,1,0,March,June,2,TRUE
