Date,Family,Family ID,Tile Number,Recruit,Single/Clump,Survival,Area,Color,Orientation,Early Missing,Other Notes,"Large, juvenile? "
March,BKxBK,1,1,1.1.79,C,1,,,,,,
June,BKxBK,1,1,1.1.79,C,0,,,,,,
October,BKxBK,1,1,1.1.79,C,0,,,,,,
March,BKxBK,1,1,1.1.89,S,1,1.088,6,,,,
June,BKxBK,1,1,1.1.89,S,0,,,,,,
October,BKxBK,1,1,1.1.89,S,0,,,,,,
March,BKxBK,1,1,1.1.93,C,1,,,,,,
June,BKxBK,1,1,1.1.93,C,0,,,,,,
October,BKxBK,1,1,1.1.93,C,0,,,,,,
March,BKxBK,1,1,1.1.99,S,1,,,,,,
June,BKxBK,1,1,1.1.99,S,0,,,,,,
October,BKxBK,1,1,1.1.99,S,0,,,,,,
March,BKxBK,1,10,1.10.2,S,1,NA,NA,,Y,,
June,BKxBK,1,10,1.10.2,S,1,NA,NA,,Y,,
October,BKxBK,1,10,1.10.2,S,1,2.734,3,,,,
March,BKxBK,1,100,1.100.10,C,1,8.448,6,,,,
June,BKxBK,1,100,1.100.10,C,0,NA,0,,,,
October,BKxBK,1,100,1.100.10,C,0,NA,0,,,,
March,BKxBK,1,100,1.100.11,C,1,,,,,,
June,BKxBK,1,100,1.100.11,C,0,,,,,,
October,BKxBK,1,100,1.100.11,C,0,,,,,,
March,BKxBK,1,100,1.100.12,C,1,,,,,,
June,BKxBK,1,100,1.100.12,C,0,,,,,,
October,BKxBK,1,100,1.100.12,C,0,,,,,,
March,BKxBK,1,100,1.100.13,C,1,4.063,6,,,,
June,BKxBK,1,100,1.100.13,C,0,NA,0,,,,
October,BKxBK,1,100,1.100.13,C,0,,,,,,
March,BKxBK,1,100,1.100.14,C,1,,,,,,
June,BKxBK,1,100,1.100.14,C,0,,,,,,
October,BKxBK,1,100,1.100.14,C,0,,,,,,
March,BKxBK,1,100,1.100.15,C,1,,,,,,
June,BKxBK,1,100,1.100.15,C,0,,,,,,
October,BKxBK,1,100,1.100.15,C,0,,,,,,
March,BKxBK,1,100,1.100.2,C,1,,,,,,
June,BKxBK,1,100,1.100.2,C,0,,,,,,
October,BKxBK,1,100,1.100.2,C,0,,,,,,
March,BKxBK,1,100,1.100.3,C,1,7.74,6,,,,
June,BKxBK,1,100,1.100.3,C,1,9.725,3,,,,
October,BKxBK,1,100,1.100.3,C,0,NA,0,,,,
March,BKxBK,1,100,1.100.4,C,1,5.196,6,,,,
June,BKxBK,1,100,1.100.4,C,1,6.48,3,,,,
October,BKxBK,1,100,1.100.4,C,0,NA,0,,,,
March,BKxBK,1,100,1.100.8,C,1,3.949,6,,,,
June,BKxBK,1,100,1.100.8,C,0,NA,0,,,,
October,BKxBK,1,100,1.100.8,C,0,,,,,,
March,BKxBK,1,100,1.100.9,C,1,,,,,,
June,BKxBK,1,100,1.100.9,C,0,,,,,,
October,BKxBK,1,100,1.100.9,C,0,,,,,,
March,BKxBK,1,101,1.101.36,C,1,,,,,,
June,BKxBK,1,101,1.101.36,C,0,,,,,,
October,BKxBK,1,101,1.101.36,C,0,,,,,,
March,BKxBK,1,101,1.101.38,C,1,,,,,,
June,BKxBK,1,101,1.101.38,C,0,,,,,,
October,BKxBK,1,101,1.101.38,C,0,,,,,,
March,BKxBK,1,104,1.104.33,C,1,,,,,,
June,BKxBK,1,104,1.104.33,C,0,,,,,,
October,BKxBK,1,104,1.104.33,C,0,,,,,,
March,BKxBK,1,104,1.104.34,C,1,,,,,,
June,BKxBK,1,104,1.104.34,C,0,,,,,,
October,BKxBK,1,104,1.104.34,C,0,,,,,,
March,BKxBK,1,109,1.109.3,S,1,1.025,6,,,,
June,BKxBK,1,109,1.109.3,S,0,,,,,,
October,BKxBK,1,109,1.109.3,S,0,,,,,,
March,BKxBK,1,110,1.110.2,S,1,NA,NA,,,,
June,BKxBK,1,110,1.110.2,S,1,NA,NA,,,No photo,Y
October,BKxBK,1,110,1.110.2,S,0,NA,0,,,,
March,BKxBK,1,111,1.111.1,S,1,3.152,6,,,,
June,BKxBK,1,111,1.111.1,S,D,3.159,1,,,,
October,BKxBK,1,111,1.111.1,S,0,NA,0,,,,
March,BKxBK,1,114,1.114.52,S,1,NA,NA,Front,,,
June,BKxBK,1,114,1.114.52,S,1,1.811,6,Back,,,
October,BKxBK,1,114,1.114.52,S,0,NA,0,,,,
March,BKxBK,1,115,1.115.1,S,1,2.114,5,,,,
June,BKxBK,1,115,1.115.1,S,1,1.669,2,,,,
October,BKxBK,1,115,1.115.1,S,0,NA,0,,,,
March,BKxBK,1,115,1.115.2,S,1,NA,NA,,Y,,
June,BKxBK,1,115,1.115.2,S,1,NA,NA,,Y,,
October,BKxBK,1,115,1.115.2,S,0,NA,0,,,,
March,BKxBK,1,117,1.117.7,S,1,1.203,6,,,,
June,BKxBK,1,117,1.117.7,S,1,NA,NA,,Y,,
October,BKxBK,1,117,1.117.7,S,1,3.721,2,,,,
March,BKxBK,1,118,1.118.105,C,1,,,,,,
June,BKxBK,1,118,1.118.105,C,0,,,,,,
October,BKxBK,1,118,1.118.105,C,0,,,,,,
March,BKxBK,1,118,1.118.107,C,1,,,,,,
June,BKxBK,1,118,1.118.107,C,0,,,,,,
October,BKxBK,1,118,1.118.107,C,0,,,,,,
March,BKxBK,1,118,1.118.11,C,1,,,,,,
June,BKxBK,1,118,1.118.11,C,0,,,,,,
October,BKxBK,1,118,1.118.11,C,0,,,,,,
March,BKxBK,1,118,1.118.12,S,1,,,,,,
June,BKxBK,1,118,1.118.12,S,0,,,,,,
October,BKxBK,1,118,1.118.12,S,0,,,,,,
March,BKxBK,1,118,1.118.120,C,1,,,,,,
June,BKxBK,1,118,1.118.120,C,0,,,,,,
