Tileposition,Tile,Rod,Family
14,1,87,BKxBK
7,2,111,BKxBK
1,3,110,BKxBK
3,4,112,BKxBK
8,5,107,BKxBK
13,6,144,BKxBK
12,7,146,BKxBK
14,8,89,BKxBK
2,9,147,BKxBK
10,10,146,BKxBK
12,11,88,BKxBK
10,12,144,BKxBK
4,13,148,BKxBK
5,14,144,BKxBK
8,15,128,BKxBK
8,16,116,BKxBK
3,17,118,BKxBK
8,18,126,BKxBK
4,19,119,BKxBK
9,20,128,BKxBK
12,22,124,BKxBK
7,23,124,BKxBK
2,24,121,BKxBK
14,25,86,BKxBK
9,26,138,BKxBK
15,27,85,BKxBK
2,28,138,BKxBK
1,29,135,BKxBK
1,30,139,BKxBK
3,31,140,BKxBK
5,32,135,BKxBK
7,33,139,BKxBK
14,34,138,BKxBK
7,35,135,BKxBK
8,36,140,BKxBK
9,37,139,BKxBK
16,38,84,BKxBK
2,40,131,BKxBK
9,41,117,BKxBK
10,42,129,BKxBK
9,43,115,BKxBK
8,44,127,BKxBK
2,45,120,BKxBK
8,46,130,BKxBK
9,47,81,BKxBK
7,48,80,BKxBK
10,49,75,BKxBK
4,50,78,BKxBK
8,51,83,BKxBK
4,53,79,BKxBK
8,54,76,BKxBK
14,55,82,BKxBK
1,56,73,BKxBK
,57,,BKxBK
1,59,72,BKxBK
6,60,74,BKxBK
7,61,93,BKxBK
11,63,90,BKxBK
9,64,94,BKxBK
6,65,77,BKxBK
1,67,NTR2,BKxBK
14,68,95,BKxBK
10,69,97,BKxBK
2,70,NTR2,BKxBK
6,71,NTR2,BKxBK
13,73,108,BKxBK
14,74,NTR2,BKxBK
7,77,NTR2,BKxBK
11,78,145,BKxBK
11,79,143,BKxBK
7,80,142,BKxBK
9,82,106,BKxBK
2,83,146,BKxBK
10,85,91,BKxBK
9,87,92,BKxBK
9,88,145,BKxBK
5,89,143,BKxBK
8,90,NTR2,BKxBK
7,91,109,BKxBK
1,92,125,BKxBK
13,93,123,BKxBK
2,94,122,BKxBK
4,95,126,BKxBK
11,96,125,BKxBK
9,97,142,BKxBK
4,98,147,BKxBK
13,99,143,BKxBK
12,100,142,BKxBK
13,101,141,BKxBK
11,102,141,BKxBK
14,103,145,BKxBK
14,104,140,BKxBK
8,105,141,BKxBK
1,106,137,BKxBK
5,107,123,BKxBK
1,108,130,BKxBK
11,109,132,BKxBK
12,110,134,BKxBK
10,111,137,BKxBK
4,112,134,BKxBK
17,113,136,BKxBK
3,114,127,BKxBK
8,115,133,BKxBK
11,116,129,BKxBK
2,117,136,BKxBK
9,118,96,BKxBK
4,119,99,BKxBK
7,120,98,BKxBK
5,121,132,BKxBK
7,122,104,BKxBK
5,123,131,BKxBK
1,124,133,BKxBK
5,125,113,BKxBK
6,126,103,BKxBK
6,127,114,BKxBK
15,128,105,BKxBK
2,129,102,BKxBK
8,130,101,BKxBK
9,131,100,BKxBK
3,1,136,BKxCU
6,2,131,BKxCU
10,3,132,BKxCU
2,4,133,BKxCU
1,5,129,BKxCU
2,6,130,BKxCU
4,7,128,BKxCU
4,8,138,BKxCU
4,9,140,BKxCU
11,10,139,BKxCU
1,11,142,BKxCU
3,12,135,BKxCU
6,13,137,BKxCU
11,14,134,BKxCU
11,15,124,BKxCU
12,16,125,BKxCU
5,17,99,BKxCU
8,18,93,BKxCU
4,19,103,BKxCU
3,21,78,BKxCU
16,22,92,BKxCU
9,23,127,BKxCU
10,24,105,BKxCU
4,25,120,BKxCU
4,26,96,BKxCU
8,27,97,BKxCU
9,28,121,BKxCU
9,29,122,BKxCU
12,30,126,BKxCU
3,31,144,BKxCU
3,32,104,BKxCU
10,33,119,BKxCU
7,34,141,BKxCU
10,35,116,BKxCU
8,36,110,BKxCU
9,37,147,BKxCU
8,39,114,BKxCU
2,40,143,BKxCU
10,41,117,BKxCU
9,42,146,BKxCU
3,43,145,BKxCU
11,44,115,BKxCU
5,45,118,BKxCU
4,46,75,BKxCU
13,47,76,BKxCU
15,48,72,BKxCU
5,49,82,BKxCU
15,50,94,BKxCU
5,51,73,BKxCU
15,52,74,BKxCU
13,53,79,BKxCU
10,54,77,BKxCU
2,55,85,BKxCU
5,71,86,BKxCU
13,72,107,BKxCU
10,73,109,BKxCU
3,74,101,BKxCU
1,75,106,BKxCU
7,76,108,BKxCU
11,77,112,BKxCU
4,78,111,BKxCU
5,80,102,BKxCU
10,81,95,BKxCU
6,82,113,BKxCU
9,83,98,BKxCU
6,84,84,BKxCU
6,85,81,BKxCU
4,86,89,BKxCU
3,87,83,BKxCU
10,88,80,BKxCU
13,89,90,BKxCU
2,90,87,BKxCU
8,91,91,BKxCU
4,92,88,BKxCU
11,1,79,BKxDR
2,2,82,BKxDR
2,3,80,BKxDR
15,4,83,BKxDR
1,5,84,BKxDR
11,6,72,BKxDR
10,7,74,BKxDR
9,8,73,BKxDR
12,9,77,BKxDR
12,10,76,BKxDR
13,11,78,BKxDR
12,12,75,BKxDR
15,13,81,BKxDR
6,14,92,BKxDR
5,15,97,BKxDR
12,16,95,BKxDR
10,17,93,BKxDR
16,18,88,BKxDR
10,19,94,BKxDR
12,20,96,BKxDR
10,21,98,BKxDR
2,22,89,BKxDR
10,23,90,BKxDR
13,24,86,BKxDR
11,25,91,BKxDR
1,26,87,BKxDR
16,27,85,BKxDR
13,1,77,BKxLS
7,2,74,BKxLS
12,3,78,BKxLS
14,4,81,BKxLS
10,5,118,BKxLS
15,6,151,BKxLS
9,7,120,BKxLS
9,8,105,BKxLS
16,9,98,BKxLS
8,10,102,BKxLS
3,11,119,BKxLS
11,12,123,BKxLS
10,13,101,BKxLS
16,14,95,BKxLS
10,15,122,BKxLS
6,16,99,BKxLS
4,17,85,BKxLS
12,18,104,BKxLS
13,19,100,BKxLS
16,20,94,BKxLS
16,21,83,BKxLS
11,22,93,BKxLS
1,23,89,BKxLS
5,24,91,BKxLS
6,25,86,BKxLS
4,26,90,BKxLS
16,27,82,BKxLS
9,28,87,BKxLS
13,29,92,BKxLS
14,30,88,BKxLS
2,31,84,BKxLS
11,32,73,BKxLS
5,33,76,BKxLS
14,34,75,BKxLS
3,35,128,BKxLS
14,36,79,BKxLS
11,37,127,BKxLS
9,38,108,BKxLS
5,39,110,BKxLS
16,40,72,BKxLS
16,41,96,BKxLS
1,42,124,BKxLS
15,43,103,BKxLS
7,44,106,BKxLS
6,45,129,BKxLS
11,46,109,BKxLS
6,47,126,BKxLS
11,48,111,BKxLS
3,49,107,BKxLS
3,50,125,BKxLS
11,51,97,BKxLS
8,52,115,BKxLS
7,53,114,BKxLS
3,54,117,BKxLS
11,55,130,BKxLS
7,56,112,BKxLS
10,57,113,BKxLS
9,58,116,BKxLS
12,59,131,BKxLS
12,60,136,BKxLS
1,61,132,BKxLS
6,62,140,BKxLS
11,63,135,BKxLS
3,64,133,BKxLS
12,66,137,BKxLS
12,67,139,BKxLS
1,68,134,BKxLS
16,79,80,BKxLS
13,86,147,BKxLS
15,1,84,CUxBK
5,2,117,CUxBK
3,3,108,CUxBK
2,4,86,CUxBK
15,4,147,CUxCU
11,5,107,CUxBK
3,6,109,CUxBK
11,7,75,CUxBK
2,8,111,CUxBK
9,9,114,CUxBK
2,10,119,CUxBK
7,11,115,CUxBK
1,12,113,CUxBK
11,13,116,CUxBK
1,14,92,CUxBK
9,15,118,CUxBK
7,16,79,CUxBK
2,17,76,CUxBK
12,18,81,CUxBK
